"id";"title";"runtime";"revenue";"adult";"release_date"
4477;"The Devil's Own";107;140807547;FALSE;1997-03-12
27322;"Love Jones";104;0;FALSE;1997-03-14
1624;"Liar Liar";86;302710615;FALSE;1997-03-21
2734;"David";190;0;FALSE;1997-03-23
2255;"Chasing Amy";113;12021272;FALSE;1997-04-04
1610;"Fever Pitch";102;0;FALSE;1997-04-04
2764;"All Stars";115;0;FALSE;1997-05-01
816;"Austin Powers: International Man of Mystery";94;67683989;FALSE;1997-05-02
2163;"Breakdown";95;50159144;FALSE;1997-05-02
108548;"Voyage to the Beginning of the World";95;0;FALSE;1997-05-05
18;"The Fifth Element";126;263920180;FALSE;1997-05-07
2966;"20,000 Leagues Under the Sea";158;0;FALSE;1997-05-11
2058;"Addicted to Love";100;34673095;FALSE;1997-05-23
330;"The Lost World: Jurassic Park";129;229074524;FALSE;1997-05-23
1701;"Con Air";115;224012234;FALSE;1997-06-01
1639;"Speed 2: Cruise Control";121;164508066;FALSE;1997-06-13
8874;"My Best Friend's Wedding";105;299288605;FALSE;1997-06-19
415;"Batman & Robin";125;238207122;FALSE;1997-06-20
754;"Face/Off";138;245676146;FALSE;1997-06-27
1281;"Bean";85;251212670;FALSE;1997-07-03
6264;"Prince Valiant";91;0;FALSE;1997-07-24
5071;"The Crazy Stranger";102;0;FALSE;1997-08-10
2142;"Cop Land";104;44862187;FALSE;1997-08-15
8854;"Steel";97;1686429;FALSE;1997-08-15
4961;"Mimic";105;25480490;FALSE;1997-08-22
2639;"Deconstructing Harry";96;10686841;FALSE;1997-08-26
26180;"Excess Baggage";101;0;FALSE;1997-08-29
5910;"Fireworks";103;0;FALSE;1997-09-03
8675;"Orgazmo";94;0;FALSE;1997-09-06
782;"Gattaca";106;12532777;FALSE;1997-09-07
32456;"Two Girls and a Guy";84;2057193;FALSE;1997-09-07
431;"Cube";90;501818;FALSE;1997-09-09
4995;"Boogie Nights";155;43101594;FALSE;1997-09-11
2649;"The Game";129;109423648;FALSE;1997-09-12
2118;"L.A. Confidential";138;126216940;FALSE;1997-09-19
6187;"Dry Cleaning";97;0;FALSE;1997-09-24
26005;"Made in Hong Kong";104;0;FALSE;1997-10-09
26393;"Breaking Up";90;11690;FALSE;1997-10-17
31413;"Innocence";110;0;FALSE;1997-10-24
267;"Live Flesh";103;1535558;FALSE;1997-10-28
781;"Wintersleepers";120;0;FALSE;1997-10-30
563;"Starship Troopers";129;121214377;FALSE;1997-11-06
2817;"Same Old Song";120;0;FALSE;1997-11-12
45928;"Incognito";108;0;FALSE;1997-11-14
597;"Titanic";194;1845034188;FALSE;1997-11-18
8197;"Midnight in the Garden of Good and Evil";155;25105255;FALSE;1997-11-21
40815;"On Guard";128;0;FALSE;1997-12-03
489;"Good Will Hunting";126;225933435;FALSE;1997-12-05
4233;"Scream 2";120;172363301;FALSE;1997-12-09
714;"Tomorrow Never Dies";119;333011068;FALSE;1997-12-11
6283;"MouseHunt";98;122417389;FALSE;1997-12-19
6116;"Spice World";93;1e+08;FALSE;1997-12-19
2898;"As Good as It Gets";139;314178011;FALSE;1997-12-19
1902;"Open Your Eyes";117;368234;FALSE;1997-12-19
637;"Life Is Beautiful";116;229400000;FALSE;1997-12-20
184;"Jackie Brown";154;39673162;FALSE;1997-12-24
62394;"The Education of Little Tree";115;0;FALSE;1997-12-25
586;"Wag the Dog";97;64256513;FALSE;1997-12-25
2397;"Fallout";90;0;FALSE;1998-01-01
47099;"Killer";80;0;FALSE;1998-01-01
53318;"The Fairy King Of Ar";91;0;FALSE;1998-01-01
63276;"L'odore della notte";NA;0;FALSE;1998-01-01
112767;"Shadow Run";94;0;FALSE;1998-01-01
45431;"Devil in the Flesh";99;0;FALSE;1998-01-04
92681;"T.N.T.";90;0;FALSE;1998-01-09
3033;"Gods and Monsters";105;6451628;FALSE;1998-01-21
1959;"Swept from the Sea";113;0;FALSE;1998-01-23
2671;"Ringu";96;8690429;FALSE;1998-01-31
8583;"Dangerous Beauty";111;0;FALSE;1998-02-20
83361;"McCinsey's Island";95;0;FALSE;1998-02-23
100;"Lock, Stock and Two Smoking Barrels";105;3897569;FALSE;1998-03-05
1283;"Torrente, the Dumb Arm of the Law";97;0;FALSE;1998-03-13
617;"Wild Things";108;67200000;FALSE;1998-03-20
26622;"Always Outnumbered";104;0;FALSE;1998-03-21
8838;"Mercury Rising";111;0;FALSE;1998-04-03
2330;"Taxi";86;268254;FALSE;1998-04-04
32302;"3 Ninjas: High Noon at Mega Mountain";93;0;FALSE;1998-04-10
7096;"Merlin";182;0;FALSE;1998-04-26
452;"The Idiots";117;7235;FALSE;1998-04-28
